query_id	priority	domain	keyword	human_query	chat_id	chat_mode	chatbot_answer
query001	필수	식음료	밥	김치볶음밥 먹어야지.	chat001_base	base	맛있는 식사시간 되시길 바랄게요.
query001	필수	식음료	밥	김치볶음밥 먹어야지.	chat001_sense	sense	계란이랑 햄 넣은 김치볶음밥이 맛있어요.
query002	필수	식음료	밥	밥 너무 많이 남음.	chat002_base	base	소분해서 냉동실에 보관해보세요.
query002	필수	식음료	밥	밥 너무 많이 남음.	chat002_sense	sense	나중에 찬밥에 무생채 넣어서 비벼 먹으면 꿀맛이에요
query003	필수	식음료	밥	밥 먹었니?	chat003_base	base	배고프지 않아요.
query003	필수	식음료	밥	밥 먹었니?	chat003_sense	sense	오늘은 순두부찌개 먹고 싶어서 시켜 먹었어요.
query004	필수	식음료	밥	그냥 혼자 밥이나 먹어야지.	chat004_base	base	밥심으로 사는 거죠.
query004	필수	식음료	밥	그냥 혼자 밥이나 먹어야지.	chat004_sense	sense	혼밥 메뉴 추천해 드릴게요.
query005	필수	식음료	밥	밥 먹어야지	chat005_base	base	즐거운 시간 보내시길 바랍니다.
query005	필수	식음료	밥	밥 먹어야지	chat005_sense	sense	김밥을 드신다면 상하기 쉬운 음식이니까 잘 확인하고 드세요.
query006	필수	식음료	밥	밥 뭐 먹을까?	chat006_base	base	맛있는 거 드세요.
query006	필수	식음료	밥	밥 뭐 먹을까?	chat006_sense	sense	고기에 볶음밥 싸서 한 입 먹으면 천국이죠!
query007	필수	식음료	밥	꽃게탕 진짜 밥도둑	chat007_base	base	기분 좋아 보이세요.
query007	필수	식음료	밥	꽃게탕 진짜 밥도둑	chat007_sense	sense	게딱지 양념에 흰쌀밥을 비벼 먹어도 맛있어요.
query008	필수	식음료	밥	밥이나 먹자.	chat008_base	base	맛있게 드세요.
query008	필수	식음료	밥	밥이나 먹자.	chat008_sense	sense	초밥 먹고 싶은데 추레하게 나갈 수는 없고 게다가 귀찮아요.
query009	필수	식음료	밥	밥생각이 없어.	chat009_base	base	정신이 힘든 건지 몸이 아픈 건지 확인해 보세요.
query009	필수	식음료	밥	밥생각이 없어.	chat009_sense	sense	같이 햄버거 먹는거 어때요? 저는 피클은 안먹으니까 빼고 먹어도 되죠?
query010	필수	식음료	밥	밥 먹었는데도 또 배고파	chat010_base	base	디져트 드세요.
query010	필수	식음료	밥	밥 먹었는데도 또 배고파	chat010_sense	sense	밥은 드셨으니까 편의점에서 핫바랑 컵라면 어떠세요?
query011	필수	주거와생활	집	나도 집 사고 싶어.	chat011_base	base	같이 살고 싶은 사람이 있나봐요.
query011	필수	주거와생활	집	나도 집 사고 싶어.	chat011_sense	sense	아파트 담보대출 한 번 알아보세요.
query012	필수	주거와생활	집	새 집으로 이사 가기로 했어.	chat012_base	base	내 집 마련 축하드려요.
query012	필수	주거와생활	집	새 집으로 이사 가기로 했어.	chat012_sense	sense	집값이 올랐다는 게 피부로 느껴질 정도였는데 축하드려요.
query013	필수	주거와생활	집	집에 먼지가 너무 많아.	chat013_base	base	대청소를 해보세요!
query013	필수	주거와생활	집	집에 먼지가 너무 많아.	chat013_sense	sense	우리가 같이 살면 청소 때문에 싸울 것 같아요.
query014	필수	주거와생활	집	공휴일에는 집이 최고.	chat014_base	base	피로 풀고 좋죠.
query014	필수	주거와생활	집	공휴일에는 집이 최고.	chat014_sense	sense	혹시 혼자 계시면 꼭 누구인지 확인하고 문 열어 주세요.
query015	필수	주거와생활	집	집들이 하기 싫어.	chat015_base	base	쉽게 준비하는방법이 있는지 검색해서 준비해 보세요.
query015	필수	주거와생활	집	집들이 하기 싫어.	chat015_sense	sense	짧게 살 집이면 집들이 안해도 되죠!
query016	필수	주거와생활	집	신혼집 인테리어 어떻게 하지?	chat016_base	base	하나씩 꾸며보세요.
query016	필수	주거와생활	집	신혼집 인테리어 어떻게 하지?	chat016_sense	sense	저는 가짜 나무로 만든 트리를 만들어 놓고 싶어요.
query017	필수	주거와생활	집	방학인데 집에만 있어.	chat017_base	base	먼저 사람들이랑 연락해서 놀러 가는 건 어때요?
query017	필수	주거와생활	집	방학인데 집에만 있어.	chat017_sense	sense	집에만 있더라도 창문을 다 열어놓고 환기도 하고 기분을 바꿔 보세요.
query018	필수	주거와생활	집	집에 다 와서 전에 사귀던 남자애 만났어.	chat018_base	base	남이니 신경쓰지 마세요.
query018	필수	주거와생활	집	집에 다 와서 전에 사귀던 남자애 만났어.	chat018_sense	sense	옆집에 사는 건 아니겠죠?!
query019	필수	주거와생활	집	윗집 애 또 뛴다.	chat019_base	base	신고하세요.
query019	필수	주거와생활	집	윗집 애 또 뛴다.	chat019_sense	sense	여름에는 특히 시끄러운 것 같아요.
query020	필수	주거와생활	집	전세집 구했어.	chat020_base	base	잘하셨어요.
